"day","administrative_level_3","20-29","30-39","40-49","50-59","60-69","70-79","80+","Total"
2020-03-16,"Panevėžio r.",0,0,0,0,1,0,0,1
2020-03-20,"Ukmergės r.",0,0,0,0,0,0,1,1
2020-03-22,"Šiaulių m.",0,0,0,0,1,0,0,1
2020-03-24,"Klaipėdos m.",0,0,0,0,0,0,1,1
2020-03-24,"Ukmergės r.",0,0,0,0,0,1,1,2
2020-03-25,"Klaipėdos m.",0,0,0,0,0,0,2,2
2020-03-26,"Klaipėdos m.",0,0,0,0,0,0,1,1
2020-03-27,"Klaipėdos m.",0,0,0,0,1,2,1,4
2020-03-27,"Palangos m.",0,0,0,0,0,0,1,1
2020-03-28,"Panevėžio m.",0,0,0,0,1,0,0,1
2020-03-28,"Telšių r.",0,0,0,0,0,1,1,2
2020-03-28,"Ukmergės r.",0,0,0,0,0,1,0,1
2020-03-29,"Ukmergės r.",0,0,0,0,0,1,0,1
2020-03-31,"Kauno m.",0,0,0,0,0,1,0,1
2020-04-01,"Ukmergės r.",0,0,0,1,0,0,1,2
2020-04-02,"Klaipėdos m.",0,0,0,0,0,0,1,1
2020-04-02,"Vilniaus m.",0,0,1,0,0,0,1,2
2020-04-03,"Mažeikių r.",0,0,0,0,0,0,1,1
2020-04-03,"Ukmergės r.",0,0,0,0,0,0,1,1
2020-04-04,"Varėnos r.",0,0,0,0,0,0,1,1
2020-04-05,"Joniškio r.",0,0,0,0,1,0,0,1
2020-04-05,"Ukmergės r.",0,0,0,1,0,0,0,1
2020-04-06,"Marijampolės",0,0,0,0,0,0,1,1
2020-04-06,"Šakių r.",0,0,0,0,1,0,0,1
2020-04-07,"Marijampolės",0,0,0,0,0,0,1,1
2020-04-08,"Raseinių r.",0,0,0,0,0,0,1,1
2020-04-09,"Klaipėdos m.",0,0,0,0,0,0,1,1
2020-04-09,"Klaipėdos r.",0,0,0,0,0,1,0,1
2020-04-09,"Šiaulių r.",0,0,0,0,1,0,0,1
2020-04-09,"Vilkaviškio r.",0,0,0,0,0,1,0,1
2020-04-10,"Kauno m.",0,0,0,0,0,1,0,1
2020-04-12,"Marijampolės",0,0,0,0,0,0,1,1
2020-04-14,"Vilniaus m.",0,0,0,0,0,1,0,1
2020-04-15,"Klaipėdos r.",0,0,0,0,0,0,2,2
2020-04-16,"Alytaus m.",0,0,0,0,0,1,0,1
2020-04-16,"Klaipėdos m.",0,0,0,0,0,0,1,1
2020-04-17,"Kretingos r.",0,0,0,0,0,0,1,1
2020-04-18,"Klaipėdos m.",0,0,0,0,1,3,1,5
2020-04-20,"Klaipėdos m.",0,0,0,1,0,0,0,1
2020-04-25,"Klaipėdos m.",0,0,0,0,0,0,1,1
2020-04-25,"Vilniaus r.",0,0,0,0,0,1,0,1
2020-04-26,"Marijampolės",0,0,0,0,1,0,0,1
2020-04-27,"Kretingos r.",0,0,0,0,0,0,1,1
2020-04-30,"Vilniaus m.",0,0,0,0,0,0,4,4
2020-05-05,"Kauno m.",0,0,0,0,0,1,0,1
2020-05-08,"Vilniaus m.",0,0,0,0,0,0,2,2
2020-05-08,"Vilniaus r.",0,0,0,0,0,1,0,1
2020-05-09,"Vilniaus m.",0,0,0,0,2,0,3,5
2020-05-10,"Vilniaus m.",0,0,0,0,0,0,1,1
2020-05-11,"Vilniaus r.",0,0,0,0,0,0,1,1
2020-05-17,"Vilniaus m.",0,0,0,0,0,1,0,1
2020-05-18,"Vilniaus m.",0,0,0,0,0,0,1,1
2020-05-19,"Vilniaus m.",0,0,0,0,1,1,0,2
2020-05-21,"Vilniaus m.",0,0,0,0,0,0,1,1
2020-05-28,"Vilniaus m.",0,0,0,0,0,0,2,2
2020-05-30,"Klaipėdos r.",0,0,0,1,0,0,0,1
2020-06-10,"Kretingos r.",0,0,0,0,0,0,1,1
2020-07-07,"Kretingos r.",0,0,0,1,0,0,0,1
2020-08-05,"Kauno r.",0,0,0,0,1,0,0,1
2020-08-06,"Kauno m.",0,0,0,0,0,1,0,1
2020-08-07,"Kauno m.",0,0,0,0,1,0,0,1
2020-08-12,"Kauno m.",0,0,0,0,0,0,1,1
2020-08-13,"Prienų r.",0,0,0,0,0,0,1,1
2020-08-21,"Kauno m.",0,0,0,0,0,0,1,1
2020-08-25,"Kauno r.",0,0,0,0,0,0,1,1
2020-09-08,"Kauno m.",0,0,0,0,0,0,1,1
2020-09-15,"Vilniaus m.",0,0,0,0,1,0,0,1
